Date,ABBN.SW,ADS.DE,AIR.PA,ALV.DE,ASML.AS,AZN.L,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BNP.PA,BP.L,BT-A.L,CAP.PA,CS.PA,DBK.DE,DG.PA,DGE.L,DSY.PA,DTE.DE,EL.PA,ENEL.MI,ENI.MI,ERIC-B.ST,G.MI,GIVN.SW,GSK.L,HEIA.AS,HEN3.DE,HSBA.L,IBE.MC,INGA.AS,ISP.MI,ITX.MC,KER.PA,LONN.SW,LSEG.L,MBG.DE,MC.PA,MUV2.DE,NDA-SE.ST,NESN.SW,NN.AS,NOKIA.HE,NOVN.SW,NOVO-B.CO,OR.PA,ORA.PA,PHIA.AS,REP.MC,RI.PA,RIO.L,ROG.SW,RWE.DE,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SHEL.L,SIE.DE,SREN.SW,UBSG.SW,UCG.MI,ULVR.L,VIE.PA,VOLV-B.ST,VOW3.DE,ZURN.SW
2015-01-05,13.608458518981934,48.617515563964844,34.8078727722168,78.5460433959961,78.42019653320312,4567.1650390625,37.974971771240234,79.20869445800781,4.0987348556518555,49.047462463378906,26.116775512695312,387.1492614746094,390.4834289550781,49.51905822753906,10.208677291870117,18.166837692260742,30.18942642211914,1815.3653564453125,9.54089641571045,8.304666519165039,75.3821792602539,1.9219516515731812,6.620212554931641,67.91077423095703,9.032182693481445,1376.2864990234375,1370.59765625,47.07281494140625,69.84649658203125,600.0973510742188,3.4744224548339844,5.507987976074219,1.1213420629501343,16.664823532104492,110.49108123779297,96.16871643066406,2200.857666015625,26.529220581054688,104.33294677734375,101.9502944946289,82.81840515136719,50.31793212890625,12.825552940368652,4.824530601501465,48.8186149597168,102.05447387695312,112.8016128540039,7.275233268737793,16.802303314208984,7.278625011444092,68.29133605957031,2859.828369140625,186.2831268310547,17.850261688232422,4.132713317871094,47.736976623535156,47.49699783325195,25.408103942871094,2068.0185546875,55.74571228027344,38.70998001098633,10.810920715332031,17.55528450012207,2740.95166015625,8.99318790435791,45.949623107910156,99.74927520751953,154.45079040527344
2015-01-06,13.469392776489258,48.49319839477539,35.614341735839844,78.63439178466797,75.89252471923828,4472.505859375,37.963592529296875,80.11538696289062,4.032172203063965,49.479820251464844,25.433734893798828,388.4903259277344,384.0152282714844,47.607418060302734,10.097651481628418,17.934368133544922,29.859193801879883,1776.485595703125,9.267814636230469,8.207194328308105,74.43412780761719,1.9498708248138428,6.709340572357178,67.91077423095703,9.070663452148438,1349.0782470703125,1358.087646484375,47.056251525878906,70.76030731201172,589.961669921875,3.4605114459991455,5.507987976074219,1.1057950258255005,16.45814323425293,109.45174407958984,96.75975799560547,2170.901123046875,26.705631256103516,103.14222717285156,101.53956604003906,82.81840515136719,49.967533111572266,12.750154495239258,4.824530601501465,48.451751708984375,101.36307525634766,112.8016128540039,7.194514751434326,16.6441593170166,7.256282329559326,67.83917236328125,2920.328125,185.26817321777344,17.697355270385742,4.060653209686279,47.89334487915039,46.426334381103516,25.004140853881836,2067.52197265625,55.69667053222656,38.40517807006836,10.72691822052002,17.313142776489258,2742.017333984375,8.867585182189941,45.949623107910156,100.37162780761719,154.20033264160156
2015-01-07,13.423041343688965,48.981590270996094,36.5419921875,79.37065887451172,76.14350891113281,4463.53662109375,38.21406173706055,80.11538696289062,4.0440778732299805,49.7450065612793,25.0089111328125,391.1727294921875,391.4785461425781,47.80776596069336,10.205902099609375,18.0318546295166,30.959993362426758,1803.900634765625,9.210371971130371,8.441130638122559,75.50801849365234,1.9465206861495972,6.744002819061279,67.22986602783203,9.092653274536133,1372.5076904296875,1380.1055908203125,47.602928161621094,71.26092529296875,597.2158203125,3.4560859203338623,5.547901630401611,1.0921911001205444,16.65032196044922,111.27952575683594,96.33757781982422,2186.87744140625,26.914108276367188,103.22433471679688,101.38159942626953,80.68534851074219,50.142738342285156,12.617557525634766,4.794399261474609,48.68758773803711,101.63197326660156,113.43225860595703,7.312899589538574,16.73042106628418,7.293519496917725,69.21865844726562,2938.179443359375,185.26817321777344,17.551727294921875,4.086520195007324,48.40153503417969,46.257728576660156,24.936185836791992,2085.914794921875,56.052249908447266,38.54585647583008,10.83030891418457,17.143644332885742,2760.127197265625,8.936666488647461,45.678375244140625,100.9940185546875,156.30380249023438
2015-01-08,13.681303024291992,50.59773635864258,37.7872200012207,81.4616928100586,79.04763793945312,4556.20458984375,39.77382278442383,84.46751403808594,4.089534282684326,51.5321159362793,25.819679260253906,402.34906005859375,397.3497314453125,49.16845703125,10.627793312072754,18.361818313598633,32.0435905456543,1843.777099609375,9.424131393432617,8.857011795043945,78.33538055419922,2.034745216369629,7.006435394287109,70.13265991210938,9.389512062072754,1414.83154296875,1428.64404296875,48.89508819580078,72.818359375,602.3829345703125,3.5243723392486572,5.734161376953125,1.1524368524551392,17.342876434326172,114.72004699707031,98.61726379394531,2212.840087890625,28.09282875061035,106.46804809570312,103.87744903564453,82.30831909179688,51.053775787353516,12.731955528259277,4.896088600158691,50.73153305053711,103.62926483154297,117.55247497558594,7.643835067749023,17.15452003479004,7.477222442626953,72.85890197753906,3002.64599609375,190.81674194335938,17.930355072021484,4.222634315490723,50.4407844543457,47.269378662109375,25.944204330444336,2130.1591796875,57.88529586791992,39.48371124267578,10.998319625854492,17.97038459777832,2842.1533203125,9.103089332580566,47.30586242675781,104.0210189819336,158.30702209472656
2015-01-09,13.436285972595215,50.45565414428711,37.23146057128906,80.0185775756836,76.94125366210938,4570.65380859375,38.77762222290039,82.07384490966797,3.9607391357421875,50.823036193847656,24.95337677001953,396.0406799316406,390.58294677734375,49.46896743774414,10.389091491699219,17.930612564086914,32.036705017089844,1817.8572998046875,9.328080177307129,8.623077392578125,76.72454071044922,1.9320027828216553,6.744002819061279,69.81012725830078,9.191606521606445,1434.48193359375,1410.630126953125,47.6112174987793,73.44609832763672,598.209228515625,3.483273983001709,5.531937599182129,1.1057950258255005,17.020166397094727,113.93157958984375,99.71488189697266,2211.84130859375,27.832225799560547,104.86674499511719,101.98186492919922,81.33454132080078,50.91361999511719,12.432962417602539,4.798166275024414,51.098384857177734,104.01336669921875,115.87077331542969,7.517380237579346,16.669322967529297,7.199185848236084,72.16150665283203,2960.4951171875,188.17779541015625,17.27138900756836,3.6276721954345703,48.78592300415039,45.971092224121094,25.544017791748047,2094.36669921875,56.702083587646484,39.460262298583984,10.804460525512695,16.984521865844727,2797.41162109375,9.231834411621094,47.3601188659668,102.3519287109375,157.00494384765625
2015-01-12,13.409796714782715,50.25142288208008,37.56575393676758,80.46037292480469,78.77873992919922,4655.85107421875,39.17041015625,83.63336181640625,3.99212646484375,51.10551071166992,25.153295516967773,393.95428466796875,395.9566650390625,50.05331802368164,10.402970314025879,17.930612564086914,32.77286911010742,1837.7955322265625,9.424131393432617,8.840766906738281,78.62062072753906,1.9241852760314941,6.778664588928223,70.59851837158203,9.318046569824219,1454.8880615234375,1413.6319580078125,48.81226348876953,74.0102767944336,598.9049682617188,3.483273983001709,5.547901630401611,1.1300872564315796,17.128944396972656,116.22530364990234,102.24785614013672,2189.873291015625,28.465682983398438,108.3568344116211,103.02445220947266,81.70550537109375,51.334102630615234,12.430363655090332,4.828296661376953,50.993568420410156,105.43451690673828,118.4774398803711,7.743386268615723,17.097015380859375,7.154499530792236,74.14641571044922,2900.4921875,191.22274780273438,16.8199462890625,3.726217269897461,49.47002029418945,48.09556198120117,25.664827346801758,2066.52734375,57.28449630737305,39.67127227783203,10.772149085998535,17.18515396118164,2852.806396484375,9.172174453735352,48.282379150390625,102.83285522460938,158.30702209472656
2015-01-13,13.396552085876465,49.99390411376953,38.07971954345703,82.08016967773438,79.800537109375,4700.18994140625,40.43415069580078,85.8819580078125,4.048947811126709,52.246952056884766,25.73638153076172,393.7060546875,397.8473205566406,49.51071548461914,10.638896942138672,18.500553131103516,33.209747314453125,1859.7275390625,9.396821975708008,9.003220558166504,79.19952392578125,1.9789063930511475,6.887596130371094,69.77427673339844,9.400506973266602,1442.7952880859375,1424.1409912109375,49.58258819580078,74.68570709228516,600.3954467773438,3.503507375717163,5.699570178985596,1.164096713066101,17.64382553100586,118.8415298461914,104.10537719726562,2254.780517578125,28.9748592376709,109.17802429199219,104.2565689086914,81.84461975097656,52.14002990722656,12.326364517211914,4.862191677093506,51.83210754394531,107.31660461425781,119.94892883300781,7.872531890869141,16.924501419067383,7.261247158050537,75.12736511230469,2896.02880859375,193.65870666503906,16.583309173583984,3.7878072261810303,50.05640411376953,48.458072662353516,26.057462692260742,2065.0361328125,57.53584671020508,40.44501495361328,11.08232593536377,17.589876174926758,2879.43798828125,9.552122116088867,49.36737060546875,105.12432098388672,161.56234741210938
2015-01-14,13.04557991027832,49.239105224609375,37.72453689575195,81.22607421875,78.33952331542969,4663.322265625,40.02998352050781,84.75765991210938,4.002949237823486,51.18045425415039,24.95337677001953,379.648681640625,399.43951416015625,48.99314498901367,10.436278343200684,18.14059066772461,32.65591049194336,1822.842041015625,9.390230178833008,8.931741714477539,78.36892700195312,1.9409369230270386,6.6845831871032715,69.45174407958984,9.290557861328125,1439.0166015625,1396.61865234375,50.294925689697266,74.10562896728516,586.3840942382812,3.4649369716644287,5.5984578132629395,1.1621534824371338,17.81787109375,116.47615814208984,103.1766357421875,2208.84619140625,28.585962295532227,108.97270202636719,103.52991485595703,80.68534851074219,51.96482849121094,12.094968795776367,4.914919853210449,51.648681640625,106.74046325683594,119.06605529785156,7.7460784912109375,16.73042106628418,7.134641170501709,74.55258178710938,2781.477294921875,192.23773193359375,16.09181022644043,3.7531089782714844,49.3397216796875,47.606597900390625,25.328821182250977,1996.4337158203125,56.8553466796875,39.99952697753906,10.785075187683105,17.365028381347656,2853.87060546875,9.558402061462402,47.98399353027344,103.85130310058594,159.90960693359375
2015-01-15,11.873462677001953,50.091575622558594,38.66891098022461,82.84587860107422,78.81459045410156,4712.146484375,40.95787048339844,87.40519714355469,4.0521955490112305,52.5006103515625,25.591997146606445,390.03021240234375,398.24542236328125,50.82965850830078,10.819311141967773,18.560550689697266,33.16157913208008,1879.6654052734375,9.58797836303711,9.042210578918457,81.3556900024414,2.0202269554138184,6.932160377502441,69.66676330566406,9.389512062072754,1286.3480224609375,1414.1326904296875,50.66767501831055,75.48826599121094,593.141357421875,3.4933905601501465,5.702231407165527,1.1961629390716553,17.716350555419922,119.52249908447266,84.77033233642578,2251.78466796875,29.23947525024414,110.90254211425781,106.31010437011719,82.5865478515625,48.741127014160156,12.19896411895752,4.862191677093506,47.16774368286133,109.31389617919922,122.84992218017578,7.85369873046875,17.05748176574707,7.380405902862549,76.4838638305664,2819.165283203125,175.65968322753906,16.39034652709961,3.803579092025757,50.71442794799805,48.72784423828125,25.208009719848633,2054.10009765625,58.026302337646484,37.7486686706543,9.518523216247559,17.572582244873047,2910.33056640625,9.696566581726074,49.150360107421875,105.5203628540039,147.7398681640625
2015-01-16,11.14503002166748,50.25142288208008,38.773380279541016,83.93559265136719,79.51374053955078,4698.19775390625,41.36772918701172,89.72632598876953,4.076005935668945,53.9533576965332,25.53924560546875,410.64434814453125,407.1018981933594,50.77123260498047,11.04968547821045,18.52680015563965,32.88294982910156,1885.6468505859375,9.606813430786133,9.129935264587402,81.91780090332031,2.07494854927063,7.164884567260742,70.0968246459961,9.554431915283203,1204.7227783203125,1432.1470947265625,51.926692962646484,76.21929168701172,590.2596435546875,3.5357534885406494,5.835274696350098,1.213653564453125,17.785240173339844,119.05654907226562,77.6357650756836,2251.78466796875,29.8208065032959,110.20452117919922,108.11090850830078,83.42121887207031,45.412288665771484,12.230165481567383,4.907386302947998,44.573509216308594,108.3536605834961,123.31237030029297,7.9155802726745605,17.384540557861328,7.549214839935303,78.20816802978516,2864.786865234375,167.26913452148438,17.111202239990234,3.791592836380005,52.07610321044922,48.533939361572266,25.24576187133789,2090.389404296875,58.52900695800781,36.506011962890625,8.930481910705566,18.074159622192383,2926.310546875,9.800188064575195,49.36737060546875,108.5190658569336,140.22767639160156
