Date,AAPL,ABBV,ABT,ADBE,AMD,AMZN,AXP,BA,BAC,BLK,BMY,CAT,COP,COST,CRM,CVX,DE,DUK,EOG,FDX,GE,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LLY,LMT,MA,MCD,MDT,META,MMM,MRK,MS,MSFT,NEE,NKE,NOW,NVDA,ORCL,PEP,PFE,PG,QCOM,RTX,SBUX,SLB,SO,SPGI,T,TGT,TMO,TSLA,UNH,UPS,V,VZ,WFC,WMT,XOM
2015-01-02,24.214902877807617,41.41191864013672,36.00921630859375,72.33999633789062,2.6700000762939453,15.425999641418457,79.04022979736328,113.65721893310547,14.12380313873291,269.7154541015625,40.88425827026367,69.02714538574219,47.9172477722168,113.9803237915039,58.38284683227539,69.52938842773438,72.45177459716797,52.91185760498047,66.31719207763672,146.25132751464844,102.43072509765625,26.260459899902344,155.5551300048828,79.37126922607422,71.32418060302734,97.56678009033203,27.896461486816406,76.54862213134766,46.27431106567383,29.580013275146484,57.3809814453125,142.88571166992188,79.84829711914062,70.27787780761719,54.24213790893555,77.83916473388672,95.6792221069336,38.48434829711914,28.558181762695312,39.76768112182617,19.897184371948242,41.10865020751953,13.47599983215332,0.4829851984977722,37.353546142578125,67.28345489501953,18.381017684936523,66.04936218261719,53.98833084106445,55.58507537841797,32.45008087158203,62.53463363647461,30.699527740478516,79.40619659423828,11.403401374816895,53.871665954589844,123.7985610961914,14.620667457580566,83.82876586914062,73.38308715820312,61.21474075317383,25.73297119140625,39.963294982910156,23.171676635742188,57.533424377441406
2015-01-05,23.532724380493164,40.63257598876953,36.017234802246094,71.9800033569336,2.6600000858306885,15.10949993133545,76.94990539550781,112.87005615234375,13.71349811553955,262.7369079589844,40.2453498840332,65.38346862792969,45.63679122924805,112.68444061279297,57.32832717895508,66.75020599365234,70.90167999267578,52.150115966796875,62.31976318359375,144.00389099121094,100.55049896240234,25.760093688964844,150.6983184814453,77.70603942871094,69.96501159667969,96.03155517578125,27.581897735595703,76.01396942138672,44.83772659301758,29.580013275146484,56.81584548950195,139.91432189941406,77.60233306884766,69.5017318725586,54.01575469970703,76.58897399902344,93.5213851928711,39.05631637573242,27.665510177612305,39.401981353759766,19.686437606811523,40.446807861328125,13.430000305175781,0.4748275876045227,36.829715728759766,66.77763366699219,18.281278610229492,65.73536682128906,53.73393249511719,54.657379150390625,31.828487396240234,60.84117126464844,30.56894874572754,78.00006103515625,11.29566478729248,52.906227111816406,122.0979232788086,14.005999565124512,82.4479751586914,71.91385650634766,59.8635139465332,25.519254684448242,38.86741638183594,23.1042423248291,55.95918655395508
2015-01-06,23.53493309020996,40.43144989013672,35.608219146728516,70.52999877929688,2.630000114440918,14.76449966430664,75.31000518798828,111.5406265258789,13.303199768066406,258.654052734375,40.176639556884766,64.96275329589844,43.752647399902344,114.17352294921875,56.37235641479492,66.71929168701172,70.31117248535156,53.00629806518555,60.54388427734375,143.99539184570312,98.38417053222656,25.124347686767578,147.64979553222656,77.4681167602539,69.80134582519531,93.96055603027344,27.06785774230957,75.64045715332031,43.67511749267578,29.80463218688965,57.10251235961914,139.2564697265625,77.43461608886719,69.62982177734375,53.74408721923828,75.55706787109375,92.52413177490234,40.59058380126953,26.868736267089844,38.82367706298828,19.76290512084961,40.208866119384766,13.265999794006348,0.4604315459728241,36.449493408203125,66.27176666259766,18.43381690979004,65.43592834472656,52.97077941894531,53.88426971435547,31.56949234008789,59.65135192871094,30.935806274414062,76.8716049194336,11.31249713897705,52.89907455444336,120.95774841308594,14.085332870483398,82.28158569335938,71.44181060791016,59.47777557373047,25.77681541442871,38.05646514892578,23.28228187561035,55.66169738769531
2015-01-07,23.864946365356445,42.065547943115234,35.89693069458008,71.11000061035156,2.5799999237060547,14.920999526977539,76.95475769042969,113.27237701416016,13.366323471069336,264.1281433105469,40.698760986328125,65.96945190429688,44.04465866088867,116.16156768798828,56.10627365112305,66.66372680664062,70.00773620605469,53.176265716552734,60.162841796875,145.05552673339844,98.425048828125,25.050458908081055,149.85020446777344,80.12330627441406,70.30658721923828,93.34648895263672,27.635591506958008,77.3102798461914,43.74178695678711,30.17664909362793,56.701171875,141.05262756347656,78.63910675048828,70.84307861328125,55.087303161621094,75.55706787109375,93.19482421875,41.45865249633789,27.252368927001953,39.31694793701172,19.943803787231445,41.0394287109375,13.418000221252441,0.4592319130897522,36.45793914794922,68.20962524414062,18.686092376708984,65.77916717529297,53.58856964111328,54.468936920166016,32.34648895263672,59.64402389526367,31.277807235717773,77.89259338378906,11.37845516204834,54.901458740234375,124.58126831054688,14.063332557678223,83.12174224853516,72.10664367675781,60.2746467590332,25.610471725463867,38.28295135498047,23.900009155273438,56.2256965637207
2015-01-08,24.781898498535156,42.50550842285156,36.634769439697266,72.91999816894531,2.609999895095825,15.02299976348877,78.04559326171875,115.27527618408203,13.64249038696289,267.2126770019531,41.7155647277832,66.6456069946289,45.14316177368164,117.15966796875,57.74224853515625,68.18920135498047,70.93450927734375,53.390296936035156,62.46354675292969,148.44781494140625,99.6103744506836,25.137739181518555,152.2425537109375,81.89600372314453,71.58748626708984,95.37535095214844,28.149639129638672,77.91817474365234,44.71924591064453,30.54168128967285,58.04436111450195,144.2310028076172,79.86231231689453,71.10679626464844,56.407894134521484,77.57127380371094,95.4284439086914,42.29308319091797,27.658132553100586,40.47357177734375,20.065017700195312,41.986785888671875,13.777999877929688,0.4765070974826813,36.6776237487793,69.44930267333984,19.067441940307617,66.53137969970703,54.15549087524414,55.39663314819336,32.86846160888672,60.366676330566406,31.30268669128418,78.59117126464844,11.491656303405762,55.15892028808594,125.87605285644531,14.041333198547363,87.08940887451172,73.40302276611328,61.08309555053711,26.159393310546875,39.13044357299805,24.404449462890625,57.161556243896484
2015-01-09,24.808473587036133,41.342777252197266,36.249813079833984,71.83999633789062,2.630000114440918,14.846500396728516,77.05699157714844,115.04786682128906,13.397886276245117,264.04486083984375,41.44073486328125,65.8492660522461,45.13621139526367,115.35663604736328,57.3184700012207,66.83048248291016,70.24555206298828,53.4658317565918,62.88056564331055,146.429443359375,98.22065734863281,24.830772399902344,149.90615844726562,80.49165344238281,70.39910125732422,95.79073333740234,28.203353881835938,76.85623168945312,43.94171905517578,30.204757690429688,57.274471282958984,144.14964294433594,78.84455108642578,70.24020385742188,56.14379119873047,77.13469696044922,94.2562255859375,42.09792709350586,27.208105087280273,40.13337326049805,19.887853622436523,41.523921966552734,13.42199993133545,0.4784265458583832,36.66071701049805,68.97908782958984,19.155445098876953,65.9106216430664,54.0900993347168,55.092227935791016,31.792625427246094,59.286376953125,30.90472984313965,77.91947174072266,11.457350730895996,54.658321380615234,125.37358856201172,13.77733325958252,86.27425384521484,72.8645248413086,60.17763137817383,25.926515579223633,38.48750686645508,24.102323532104492,57.080989837646484
2015-01-12,24.197174072265625,41.33020782470703,36.554569244384766,71.12000274658203,2.630000114440918,14.570500373840332,76.2729721069336,114.46187591552734,13.161170959472656,262.305908203125,42.71858596801758,65.27828979492188,43.8499870300293,114.71273803710938,56.89469528198242,65.3914794921875,70.0815200805664,53.516204833984375,60.75961685180664,146.3530731201172,98.01628875732422,24.649274826049805,148.08187866210938,80.13097381591797,70.05754089355469,94.18330383300781,28.080589294433594,76.59257507324219,43.56406021118164,29.930986404418945,56.856781005859375,143.74317932128906,77.83609008789062,70.08950805664062,56.196598052978516,76.12262725830078,93.7430191040039,41.9229621887207,26.83186149597168,39.63161087036133,19.837505340576172,41.46769332885742,13.637999534606934,0.47242820262908936,36.55933380126953,68.69408416748047,19.225849151611328,65.66963195800781,53.47228240966797,55.29999923706055,31.96796417236328,56.9724235534668,30.910940170288086,76.80888366699219,11.488228797912598,54.80133819580078,124.1657943725586,13.480667114257812,85.30107116699219,72.89112091064453,60.059837341308594,26.10394287109375,38.027244567871094,24.283061981201172,55.98397445678711
2015-01-13,24.412010192871094,40.1397590637207,35.96601104736328,70.58999633789062,2.6600000858306885,14.737000465393066,76.04286193847656,114.7242660522461,12.979694366455078,263.09979248046875,43.3643913269043,64.88762664794922,43.411983489990234,113.56179809570312,57.131221771240234,64.35389709472656,70.4424057006836,53.80580139160156,61.15503692626953,145.4456329345703,97.52581024169922,24.88433265686035,147.9698486328125,79.60148620605469,70.5556411743164,94.40606689453125,28.003877639770508,76.7243881225586,43.57147216796875,29.923969268798828,56.82402038574219,143.65443420410156,78.01348876953125,69.95384979248047,54.92884063720703,75.854736328125,93.67300415039062,41.84894561767578,26.581024169921875,39.4275016784668,19.91582679748535,41.099998474121094,13.454000473022461,0.4717082977294922,36.27205276489258,68.64422607421875,19.032236099243164,65.94715118408203,53.03618621826172,55.24685287475586,32.222957611083984,56.77534866333008,30.89227867126465,81.40345764160156,11.488228797912598,54.3150520324707,124.01113891601562,13.616666793823242,85.73358917236328,73.20360565185547,60.23539733886719,26.159393310546875,37.88111877441406,24.091537475585938,55.77946853637695
2015-01-14,24.318992614746094,40.3360481262207,35.69995880126953,69.98999786376953,2.630000114440918,14.66349983215332,74.20210266113281,114.03330993652344,12.656188011169434,261.4136962890625,43.24760055541992,64.66223907470703,43.53711700439453,112.1290283203125,56.421634674072266,64.1686019897461,70.92628479003906,53.94428634643555,63.20671081542969,146.5057373046875,97.19880676269531,25.08913803100586,144.2091522216797,78.76502990722656,70.22830963134766,93.79800415039062,27.8887939453125,76.16779327392578,42.068233489990234,29.87483024597168,57.135284423828125,142.82662963867188,77.92945098876953,68.98175048828125,54.159122467041016,75.68605041503906,93.21810150146484,42.15176010131836,25.976070404052734,39.08731460571289,20.038921356201172,40.537628173828125,13.267999649047852,0.4736279249191284,36.38189697265625,68.87220001220703,19.05570411682129,65.72076416015625,52.491065979003906,54.85062789916992,32.04365539550781,57.22062683105469,31.20941162109375,79.62116241455078,11.433340072631836,53.156517028808594,121.94331359863281,12.845999717712402,85.94986724853516,72.71161651611328,59.029659271240234,26.042949676513672,37.442771911621094,23.36319923400879,55.61832809448242
2015-01-15,23.658967971801758,39.823143005371094,35.43390655517578,70.29000091552734,2.5199999809265137,14.34749984741211,73.18795013427734,113.8233642578125,11.993392944335938,258.9186706542969,42.340736389160156,63.866920471191406,42.695865631103516,112.1290283203125,54.31260299682617,63.408973693847656,71.51679229736328,54.61788558959961,62.33501434326172,147.43865966796875,96.38130950927734,24.993927001953125,142.8169403076172,77.51417541503906,69.1039810180664,93.05747985839844,27.76601791381836,75.06189727783203,40.72051239013672,29.74847984313965,57.11888122558594,142.19093322753906,76.79963684082031,68.86116027832031,54.25722885131836,73.47342681884766,93.11317443847656,41.64033126831055,25.511281967163086,38.67910385131836,19.96245765686035,40.1483039855957,12.72599983215332,0.4702688455581665,36.018592834472656,68.87220001220703,19.00877571105957,65.62579345703125,51.88054275512695,54.85062789916992,31.708955764770508,55.9359130859375,31.5887393951416,79.07479858398438,11.40932846069336,54.114810943603516,119.94312286376953,12.791333198547363,86.88978576660156,72.65843200683594,58.468379974365234,26.115032196044922,37.05556106567383,23.5709171295166,55.13491439819336
