Date,0005.HK,000660.KS,005930.KS,0388.HK,0700.HK,0883.HK,0941.HK,1299.HK,1398.HK,2318.HK,4063.T,4502.T,6098.T,6758.T,6861.T,6954.T,7203.T,7267.T,7974.T,8035.T,8058.T,8306.T,9432.T,9433.T,9984.T,BHP.AX,CBA.AX,TSM
2015-01-05,38.415687561035156,41332.05078125,20507.74609375,131.8758087158203,99.6491470336914,4.784108638763428,47.93645095825195,35.31464767456055,2.855936050415039,27.301334381103516,1270.4552001953125,3129.62939453125,1048.080078125,460.7398376464844,12687.369140625,3022.534423828125,1059.54541015625,784.4110107421875,948.4722900390625,2199.642578125,485.6900634765625,436.1565246582031,42.51301574707031,879.3208618164062,833.3261108398438,11.623326301574707,51.420894622802734,16.183109283447266
2015-01-06,37.80967712402344,41201.92578125,19923.125,132.0989227294922,105.35591125488281,4.6312336921691895,47.21820068359375,34.37346649169922,2.811619520187378,26.587682723999023,1230.833984375,3073.92236328125,1046.5548095703125,455.32708740234375,12244.7021484375,2937.51123046875,1030.3291015625,767.3027954101562,908.8241577148438,2094.052001953125,465.61474609375,422.4309387207031,42.40150833129883,855.0142822265625,815.6378784179688,11.083165168762207,51.03202819824219,15.900236129760742
2015-01-07,37.41445541381836,41115.19140625,20107.744140625,133.36341857910156,109.2189712524414,4.62224006652832,48.814308166503906,34.41437911987305,2.831315755844116,26.703855514526367,1241.1422119140625,3075.48779296875,1113.6806640625,476.4181823730469,12287.5419921875,2913.765625,1045.4310302734375,761.081787109375,913.4432983398438,2036.697021484375,462.6200256347656,415.1683349609375,42.164546966552734,861.3802490234375,822.2709350585938,11.083165168762207,50.91834259033203,16.130996704101562
2015-01-08,37.51985549926758,43327.0859375,20215.4296875,132.2476806640625,111.76505279541016,4.703173637390137,49.798580169677734,34.94635772705078,2.8165438175201416,27.185161590576172,1250.64453125,3190.344970703125,1101.475830078125,478.7512512207031,12404.158203125,2950.532470703125,1066.178955078125,775.74560546875,934.229736328125,2070.774169921875,461.9545593261719,417.83349609375,43.237823486328125,862.4219970703125,831.1151733398438,11.189621925354004,51.08586883544922,16.235212326049805
2015-01-09,37.46715545654297,43110.22265625,20215.4296875,131.65264892578125,111.67728424072266,4.7751145362854,50.57003402709961,35.15095520019531,2.821467638015747,27.60007667541504,1249.5172119140625,3196.603515625,1093.84765625,485.0972900390625,12487.4541015625,2968.150146484375,1073.941650390625,784.6327514648438,939.6188354492188,2093.572021484375,465.5037536621094,421.63128662109375,44.37382507324219,868.5564575195312,838.3299560546875,11.49715805053711,51.4747428894043,15.781132698059082
2015-01-12,37.46715545654297,43630.6796875,20246.201171875,132.8427734375,111.5894775390625,4.784108638763428,50.463623046875,35.19187545776367,2.796847105026245,27.400915145874023,1249.5172119140625,3196.603515625,1093.84765625,485.0972900390625,12487.4541015625,2968.150146484375,1073.941650390625,784.6327514648438,939.6188354492188,2093.572021484375,465.5037536621094,421.63128662109375,44.37382507324219,868.5564575195312,838.3299560546875,11.240878105163574,51.24141311645508,15.475935935974121
2015-01-13,37.57255172729492,42503.046875,20600.052734375,133.4377899169922,112.20406341552734,4.703173637390137,51.820308685302734,35.9284553527832,2.811619520187378,27.53368377685547,1241.625244140625,3228.526123046875,1104.5269775390625,470.3521423339844,12720.6875,2945.1708984375,1061.23876953125,784.4110107421875,944.2379150390625,2051.575439453125,463.2856140136719,419.56591796875,44.04627227783203,869.5982666015625,831.813232421875,11.027966499328613,51.03202819824219,15.669474601745605
2015-01-14,37.335411071777344,42416.3046875,20692.357421875,132.3220672607422,110.62371826171875,4.667202949523926,51.34148025512695,36.01029968261719,2.796847105026245,27.66645622253418,1225.03564453125,3205.3671875,1109.103759765625,454.2071533203125,12380.357421875,2894.616455078125,1043.87841796875,788.299072265625,903.435302734375,2003.1002197265625,454.30157470703125,411.0373229980469,44.980167388916016,878.8578491210938,809.935791015625,10.724371910095215,50.062843322753906,15.67691707611084
2015-01-15,37.203670501708984,42936.74609375,20523.123046875,132.5452423095703,111.41387939453125,4.703173637390137,52.11294174194336,36.828704833984375,2.8263914585113525,28.7618350982666,1251.1273193359375,3244.7998046875,1101.475830078125,466.6192626953125,12644.5302734375,2923.7236328125,1062.22705078125,797.9637451171875,930.3803100585938,2002.6199951171875,451.8614196777344,412.3033752441406,45.258934020996094,913.4660034179688,815.98681640625,10.606086730957031,49.96113586425781,17.039154052734375
2015-01-16,36.992889404296875,41158.56640625,20246.201171875,131.9501953125,107.02406311035156,4.685188293457031,52.05973434448242,36.542266845703125,2.796847105026245,29.309526443481445,1231.156005859375,3251.059814453125,1067.912841796875,444.968017578125,12375.59765625,2916.064208984375,1060.533203125,797.4086303710938,918.4476928710938,1982.941650390625,450.41961669921875,409.5714416503906,45.126522064208984,911.8455200195312,795.5059204101562,10.665230751037598,49.99702835083008,16.823280334472656
